date,datetime,cash_type,card,money,coffee_name,machine
2025-02-08,2025-02-08 14:26:04,cash,UNKNOWN,15,Tea,machine-2
2025-02-08,2025-02-08 14:28:26,cash,UNKNOWN,15,Tea,machine-2
2025-02-08,2025-02-08 14:33:04,card,UNKNOWN,20,Espresso,machine-2
2025-02-08,2025-02-08 15:51:04,card,UNKNOWN,30,Chocolate with coffee,machine-2
2025-02-08,2025-02-08 16:35:01,cash,UNKNOWN,27,Chocolate with milk,machine-2
2025-02-08,2025-02-08 18:55:30,card,UNKNOWN,33,Espresso,machine-2
2025-02-08,2025-02-08 18:59:03,cash,UNKNOWN,29,Coffee with Irish whiskey,machine-2
2025-02-08,2025-02-08 19:00:28,cash,UNKNOWN,27,Irish whiskey with milk,machine-2
2025-02-09,2025-02-09 08:45:45,card,UNKNOWN,28,Double Irish whiskey,machine-2
2025-02-09,2025-02-09 10:41:36,cash,UNKNOWN,30,Chocolate with coffee,machine-2
2025-02-09,2025-02-09 10:42:55,cash,UNKNOWN,27,Double espresso,machine-2
2025-02-09,2025-02-09 12:18:53,cash,UNKNOWN,25,Americano with milk,machine-2
2025-02-09,2025-02-09 13:28:56,card,UNKNOWN,20,Espresso,machine-2
2025-02-09,2025-02-09 15:16:48,card,UNKNOWN,30,Cappuccino,machine-2
2025-02-09,2025-02-09 15:43:17,card,UNKNOWN,32,Double espresso with milk,machine-2
2025-02-09,2025-02-09 16:14:26,card,UNKNOWN,28,Double Irish whiskey,machine-2
2025-02-09,2025-02-09 16:23:52,card,UNKNOWN,28,Caramel with Irish whiskey,machine-2
2025-02-09,2025-02-09 16:25:15,card,UNKNOWN,33,Latte,machine-2
2025-02-09,2025-02-09 17:47:17,card,UNKNOWN,33,Latte,machine-2
2025-02-09,2025-02-09 18:01:22,card,UNKNOWN,25,Americano with milk,machine-2
2025-02-09,2025-02-09 18:01:22,card,UNKNOWN,33,Latte,machine-2
2025-02-09,2025-02-09 18:01:22,card,UNKNOWN,15,Tea,machine-2
2025-02-09,2025-02-09 18:02:39,card,UNKNOWN,28,Caramel with Irish whiskey,machine-2
2025-02-09,2025-02-09 19:50:36,cash,UNKNOWN,29,Coffee with Irish whiskey,machine-2
2025-02-10,2025-02-10 09:26:07,cash,UNKNOWN,25,Americano,machine-2
2025-02-10,2025-02-10 12:26:32,cash,UNKNOWN,25,Americano,machine-2
2025-02-10,2025-02-10 18:21:29,cash,UNKNOWN,27,Chocolate with milk,machine-2
2025-02-11,2025-02-11 09:49:22,card,UNKNOWN,15,Tea,machine-2
2025-02-11,2025-02-11 18:35:30,card,UNKNOWN,25,Americano,machine-2
2025-02-12,2025-02-12 17:57:46,cash,UNKNOWN,27,Chocolate with milk,machine-2
2025-02-13,2025-02-13 07:55:09,card,UNKNOWN,33,Latte,machine-2
2025-02-13,2025-02-13 08:12:14,card,UNKNOWN,32,Double espresso with milk,machine-2
2025-02-13,2025-02-13 08:47:48,card,UNKNOWN,30,Cappuccino,machine-2
2025-02-13,2025-02-13 10:28:04,card,UNKNOWN,25,Americano with milk,machine-2
2025-02-14,2025-02-14 12:33:35,card,UNKNOWN,20,Espresso,machine-2
2025-02-14,2025-02-14 14:27:58,cash,UNKNOWN,20,Espresso,machine-2
2025-02-14,2025-02-14 14:33:41,card,UNKNOWN,28,Double Irish whiskey,machine-2
2025-02-14,2025-02-14 16:09:35,cash,UNKNOWN,20,Espresso,machine-2
2025-02-14,2025-02-14 19:02:15,card,UNKNOWN,20,Espresso,machine-2
2025-02-14,2025-02-14 19:24:49,cash,UNKNOWN,27,Chocolate with milk,machine-2
2025-02-14,2025-02-14 19:30:59,card,UNKNOWN,29,Coffee with Irish whiskey,machine-2
2025-02-14,2025-02-14 19:53:26,card,UNKNOWN,28,Super chocolate,machine-2
2025-02-14,2025-02-14 19:54:48,card,UNKNOWN,28,Double Irish whiskey,machine-2
2025-02-15,2025-02-15 09:38:59,card,UNKNOWN,25,Americano,machine-2
2025-02-15,2025-02-15 11:10:57,card,UNKNOWN,27,Double vanilla,machine-2
2025-02-15,2025-02-15 13:43:38,cash,UNKNOWN,30,Mochaccino,machine-2
2025-02-15,2025-02-15 13:45:12,cash,UNKNOWN,27,Irish whiskey with milk,machine-2
2025-02-15,2025-02-15 15:33:24,card,UNKNOWN,15,Tea,machine-2
2025-02-15,2025-02-15 15:35:50,card,UNKNOWN,25,Americano with milk,machine-2
2025-02-15,2025-02-15 15:48:07,card,UNKNOWN,25,Americano with milk,machine-2
2025-02-16,2025-02-16 16:36:54,card,UNKNOWN,33,Latte,machine-2
2025-02-16,2025-02-16 16:38:30,card,UNKNOWN,28,Caramel with chocolate,machine-2
2025-02-16,2025-02-16 16:41:18,cash,UNKNOWN,25,Irish whiskey,machine-2
2025-02-16,2025-02-16 16:41:18,cash,UNKNOWN,20,Double vanilla,machine-2
2025-02-16,2025-02-16 19:30:33,card,UNKNOWN,33,Latte,machine-2
2025-02-16,2025-02-16 23:01:01,card,UNKNOWN,29,Coffee with Irish whiskey,machine-2
2025-02-16,2025-02-16 23:03:42,card,UNKNOWN,30,Cappuccino,machine-2
2025-02-16,2025-02-16 23:04:57,card,UNKNOWN,28,Caramel coffee,machine-2
2025-02-17,2025-02-17 07:58:44,card,UNKNOWN,20,Espresso,machine-2
2025-02-17,2025-02-17 08:17:59,cash,UNKNOWN,30,Cappuccino,machine-2
2025-02-17,2025-02-17 16:26:51,card,UNKNOWN,28,Caramel with Irish whiskey,machine-2
2025-02-17,2025-02-17 16:57:46,cash,UNKNOWN,25,Americano with milk,machine-2
2025-02-17,2025-02-17 17:00:13,cash,UNKNOWN,20,Espresso,machine-2
2025-02-17,2025-02-17 17:52:39,card,UNKNOWN,30,Cappuccino,machine-2
2025-02-17,2025-02-17 18:26:38,cash,UNKNOWN,29,Coffee with Irish whiskey,machine-2
2025-02-17,2025-02-17 22:10:07,cash,UNKNOWN,25,Americano with milk,machine-2
2025-02-18,2025-02-18 09:52:42,cash,UNKNOWN,28,Vanilla with Irish whiskey,machine-2
2025-02-18,2025-02-18 10:14:06,card,UNKNOWN,25,Americano with milk,machine-2
2025-02-18,2025-02-18 15:36:44,card,UNKNOWN,30,Cappuccino,machine-2
2025-02-18,2025-02-18 15:42:11,card,UNKNOWN,25,Americano with milk,machine-2
2025-02-19,2025-02-19 07:56:31,cash,UNKNOWN,25,Americano,machine-2
2025-02-19,2025-02-19 10:38:04,card,UNKNOWN,25,Americano,machine-2
2025-02-19,2025-02-19 12:05:08,cash,UNKNOWN,25,Americano with milk,machine-2
2025-02-19,2025-02-19 12:20:37,card,UNKNOWN,20,Espresso,machine-2
2025-02-20,2025-02-20 07:38:32,card,UNKNOWN,30,Cappuccino,machine-2
2025-02-20,2025-02-20 08:04:41,cash,UNKNOWN,30,Mochaccino,machine-2
2025-02-20,2025-02-20 08:57:54,card,UNKNOWN,29,Coffee with Irish whiskey,machine-2
2025-02-20,2025-02-20 09:36:06,cash,UNKNOWN,25,Americano with milk,machine-2
2025-02-20,2025-02-20 09:36:06,cash,UNKNOWN,20,Espresso,machine-2
2025-02-20,2025-02-20 12:07:16,card,UNKNOWN,33,Latte,machine-2
2025-02-20,2025-02-20 12:09:01,card,UNKNOWN,30,Cappuccino,machine-2
2025-02-20,2025-02-20 13:20:58,card,UNKNOWN,25,Chocolate,machine-2
2025-02-20,2025-02-20 17:06:57,card,UNKNOWN,25,Americano with milk,machine-2
2025-02-20,2025-02-20 17:09:30,cash,UNKNOWN,25,Americano with milk,machine-2
2025-02-20,2025-02-20 17:42:39,card,UNKNOWN,28,Double Irish whiskey,machine-2
2025-02-21,2025-02-21 08:39:10,cash,UNKNOWN,25,Irish whiskey,machine-2
2025-02-21,2025-02-21 09:20:59,card,UNKNOWN,30,Mochaccino,machine-2
2025-02-21,2025-02-21 09:49:18,card,UNKNOWN,25,Irish whiskey,machine-2
2025-02-21,2025-02-21 10:14:07,cash,UNKNOWN,25,Americano with milk,machine-2
2025-02-21,2025-02-21 15:56:21,card,UNKNOWN,25,Americano with milk,machine-2
2025-02-21,2025-02-21 16:13:01,card,UNKNOWN,28,Double Irish whiskey,machine-2
2025-02-21,2025-02-21 16:44:24,cash,UNKNOWN,20,Espresso,machine-2
2025-02-21,2025-02-21 17:12:49,card,UNKNOWN,33,Latte,machine-2
2025-02-21,2025-02-21 18:43:58,cash,UNKNOWN,25,Americano with milk,machine-2
2025-02-21,2025-02-21 18:45:20,card,UNKNOWN,33,Latte,machine-2
2025-02-21,2025-02-21 18:55:19,cash,UNKNOWN,15,Tea,machine-2
2025-02-22,2025-02-22 12:08:32,card,UNKNOWN,28,Caramel with chocolate,machine-2
2025-02-22,2025-02-22 18:38:38,card,UNKNOWN,33,Latte,machine-2
2025-02-22,2025-02-22 18:38:38,card,UNKNOWN,25,Americano with milk,machine-2
2025-02-22,2025-02-22 19:05:11,card,UNKNOWN,29,Coffee with Irish whiskey,machine-2
2025-02-23,2025-02-23 11:04:22,card,UNKNOWN,28,Double Irish whiskey,machine-2
2025-02-23,2025-02-23 15:09:53,card,UNKNOWN,25,Americano,machine-2
2025-02-23,2025-02-23 15:19:14,card,UNKNOWN,25,Americano with milk,machine-2
2025-02-23,2025-02-23 15:57:49,cash,UNKNOWN,28,Double Irish whiskey,machine-2
2025-02-24,2025-02-24 13:23:23,card,UNKNOWN,15,Tea,machine-2
2025-02-24,2025-02-24 18:32:28,card,UNKNOWN,28,Caramel with Irish whiskey,machine-2
2025-02-24,2025-02-24 18:33:49,card,UNKNOWN,28,Caramel with Irish whiskey,machine-2
2025-02-24,2025-02-24 20:15:01,card,UNKNOWN,25,Caramel with milk,machine-2
2025-02-25,2025-02-25 21:41:58,card,UNKNOWN,29,Coffee with Irish whiskey,machine-2
2025-02-25,2025-02-25 21:43:45,card,UNKNOWN,33,Latte,machine-2
2025-02-26,2025-02-26 09:41:12,cash,UNKNOWN,25,Americano with milk,machine-2
2025-02-26,2025-02-26 10:29:33,cash,UNKNOWN,25,Irish whiskey,machine-2
2025-02-26,2025-02-26 11:31:35,card,UNKNOWN,33,Latte,machine-2
2025-02-26,2025-02-26 11:36:20,card,UNKNOWN,27,Irish whiskey with milk,machine-2
2025-02-26,2025-02-26 11:44:39,cash,UNKNOWN,15,Tea,machine-2
2025-02-26,2025-02-26 11:49:57,cash,UNKNOWN,20,Espresso,machine-2
2025-02-26,2025-02-26 11:56:36,card,UNKNOWN,15,Tea,machine-2
2025-02-26,2025-02-26 12:00:27,card,UNKNOWN,15,Tea,machine-2
2025-02-26,2025-02-26 12:17:03,card,UNKNOWN,15,Tea,machine-2
2025-02-26,2025-02-26 12:22:20,card,UNKNOWN,15,Tea,machine-2
2025-02-26,2025-02-26 13:11:29,cash,UNKNOWN,33,Latte,machine-2
2025-02-26,2025-02-26 14:53:33,card,UNKNOWN,33,Latte,machine-2
2025-02-26,2025-02-26 16:45:34,card,UNKNOWN,27,Irish whiskey with milk,machine-2
2025-02-26,2025-02-26 17:08:45,card,UNKNOWN,29,Coffee with Irish whiskey,machine-2
2025-02-26,2025-02-26 17:13:28,card,UNKNOWN,25,Caramel with milk,machine-2
2025-02-26,2025-02-26 20:49:00,card,UNKNOWN,28,Caramel with chocolate,machine-2
2025-02-27,2025-02-27 11:37:57,cash,UNKNOWN,25,Americano with milk,machine-2
2025-02-27,2025-02-27 17:04:29,cash,UNKNOWN,15,Tea,machine-2
2025-02-28,2025-02-28 07:58:50,card,UNKNOWN,25,Americano with milk,machine-2
2025-02-28,2025-02-28 12:02:54,cash,UNKNOWN,20,Espresso,machine-2
2025-02-28,2025-02-28 14:40:03,cash,UNKNOWN,33,Latte,machine-2
2025-02-28,2025-02-28 14:42:05,cash,UNKNOWN,33,Latte,machine-2
2025-02-28,2025-02-28 15:39:43,cash,UNKNOWN,30,Cappuccino,machine-2
2025-02-28,2025-02-28 15:42:11,cash,UNKNOWN,25,Americano with milk,machine-2
2025-02-28,2025-02-28 19:54:43,card,UNKNOWN,28,Super chocolate,machine-2
2025-02-28,2025-02-28 22:14:42,card,UNKNOWN,28,Double Irish whiskey,machine-2
2025-02-28,2025-02-28 22:32:32,card,UNKNOWN,25,Americano with milk,machine-2
2025-03-01,2025-03-01 11:37:35,cash,UNKNOWN,30,Cappuccino,machine-2
2025-03-01,2025-03-01 11:43:55,cash,UNKNOWN,25,Americano with milk,machine-2
2025-03-01,2025-03-01 12:48:46,cash,UNKNOWN,15,Tea,machine-2
2025-03-01,2025-03-01 14:48:41,card,UNKNOWN,27,Chocolate with milk,machine-2
2025-03-01,2025-03-01 16:35:56,card,UNKNOWN,27,Irish whiskey with milk,machine-2
2025-03-02,2025-03-02 11:18:50,card,UNKNOWN,25,Americano with milk,machine-2
2025-03-02,2025-03-02 11:20:34,card,UNKNOWN,30,Cappuccino,machine-2
2025-03-02,2025-03-02 12:16:41,card,UNKNOWN,28,Caramel coffee,machine-2
2025-03-02,2025-03-02 12:48:05,cash,UNKNOWN,28,Coffee with chocolate,machine-2
2025-03-02,2025-03-02 12:48:05,cash,UNKNOWN,30,Cappuccino,machine-2
2025-03-02,2025-03-02 14:54:16,cash,UNKNOWN,28,Super chocolate,machine-2
2025-03-02,2025-03-02 16:09:56,card,UNKNOWN,25,Irish whiskey,machine-2
2025-03-02,2025-03-02 20:12:18,card,UNKNOWN,27,Chocolate with milk,machine-2
2025-03-02,2025-03-02 20:13:42,card,UNKNOWN,27,Irish whiskey with milk,machine-2
2025-03-02,2025-03-02 20:16:54,card,UNKNOWN,33,Latte,machine-2
2025-03-02,2025-03-02 20:30:04,cash,UNKNOWN,25,Caramel with milk,machine-2
2025-03-03,2025-03-03 10:40:15,card,UNKNOWN,25,Americano with milk,machine-2
2025-03-03,2025-03-03 11:08:15,card,UNKNOWN,25,Irish whiskey,machine-2
2025-03-03,2025-03-03 11:14:04,card,UNKNOWN,25,Irish whiskey,machine-2
2025-03-03,2025-03-03 11:24:26,card,UNKNOWN,27,Irish with chocolate,machine-2
2025-03-03,2025-03-03 16:23:33,card,UNKNOWN,28,Caramel with Irish whiskey,machine-2
2025-03-03,2025-03-03 21:58:37,card,UNKNOWN,25,Americano with milk,machine-2
2025-03-05,2025-03-05 11:29:31,card,UNKNOWN,25,Irish whiskey,machine-2
2025-03-05,2025-03-05 11:39:26,card,UNKNOWN,27,Vanilla coffee,machine-2
2025-03-05,2025-03-05 12:34:30,cash,UNKNOWN,20,Espresso,machine-2
2025-03-05,2025-03-05 13:12:49,cash,UNKNOWN,25,Americano,machine-2
2025-03-05,2025-03-05 13:17:06,cash,UNKNOWN,27,Irish whiskey with milk,machine-2
2025-03-05,2025-03-05 18:38:51,card,UNKNOWN,33,Latte,machine-2
2025-03-05,2025-03-05 18:40:11,card,UNKNOWN,25,Americano with milk,machine-2
2025-03-05,2025-03-05 18:44:49,card,UNKNOWN,25,Americano,machine-2
2025-03-07,2025-03-07 12:36:33,card,UNKNOWN,27,Double ristretto,machine-2
2025-03-07,2025-03-07 12:37:48,card,UNKNOWN,25,Americano with milk,machine-2
2025-03-07,2025-03-07 14:19:54,card,UNKNOWN,27,Irish with chocolate,machine-2
2025-03-07,2025-03-07 14:21:18,card,UNKNOWN,25,Irish whiskey,machine-2
2025-03-07,2025-03-07 21:35:05,cash,UNKNOWN,27,Chocolate with milk,machine-2
2025-03-08,2025-03-08 11:32:24,card,UNKNOWN,25,Americano with milk,machine-2
2025-03-08,2025-03-08 16:35:18,card,UNKNOWN,20,Espresso,machine-2
2025-03-08,2025-03-08 21:32:09,card,UNKNOWN,30,Hot milkshake,machine-2
2025-03-08,2025-03-08 21:48:58,card,UNKNOWN,28,Caramel with chocolate,machine-2
2025-03-09,2025-03-09 07:47:14,card,UNKNOWN,25,Americano,machine-2
2025-03-09,2025-03-09 11:47:13,card,UNKNOWN,25,Americano,machine-2
2025-03-09,2025-03-09 15:05:27,cash,UNKNOWN,25,Americano,machine-2
2025-03-09,2025-03-09 15:07:45,card,UNKNOWN,30,Mochaccino,machine-2
2025-03-09,2025-03-09 17:32:54,card,UNKNOWN,25,Americano,machine-2
2025-03-09,2025-03-09 18:05:00,card,UNKNOWN,28,Vanilla with Irish whiskey,machine-2
2025-03-09,2025-03-09 18:43:39,card,UNKNOWN,27,Irish whiskey with milk,machine-2
2025-03-09,2025-03-09 19:19:21,cash,UNKNOWN,27,Chocolate with milk,machine-2
2025-03-10,2025-03-10 12:11:09,cash,UNKNOWN,25,Americano,machine-2
2025-03-10,2025-03-10 14:01:03,card,UNKNOWN,27,Irish whiskey with milk,machine-2
2025-03-10,2025-03-10 15:25:38,card,UNKNOWN,27,Irish whiskey with milk,machine-2
2025-03-10,2025-03-10 22:12:01,card,UNKNOWN,30,Cappuccino,machine-2
2025-03-11,2025-03-11 07:52:45,card,UNKNOWN,30,Cappuccino,machine-2
2025-03-11,2025-03-11 10:04:22,cash,UNKNOWN,27,Chocolate with milk,machine-2
2025-03-11,2025-03-11 12:41:27,cash,UNKNOWN,28,Super chocolate,machine-2
2025-03-11,2025-03-11 18:03:20,card,UNKNOWN,27,Irish with chocolate,machine-2
2025-03-11,2025-03-11 18:04:42,card,UNKNOWN,27,Irish with chocolate,machine-2
2025-03-12,2025-03-12 07:53:08,card,UNKNOWN,33,Latte,machine-2
2025-03-12,2025-03-12 08:41:17,card,UNKNOWN,25,Americano,machine-2
2025-03-12,2025-03-12 16:56:27,card,UNKNOWN,25,Americano with milk,machine-2
2025-03-12,2025-03-12 16:58:14,card,UNKNOWN,28,Double Irish whiskey,machine-2
2025-03-12,2025-03-12 18:50:47,card,UNKNOWN,25,Americano with milk,machine-2
2025-03-12,2025-03-12 18:52:44,card,UNKNOWN,25,Americano with milk,machine-2
2025-03-12,2025-03-12 21:37:51,card,UNKNOWN,27,Irish whiskey with milk,machine-2
2025-03-12,2025-03-12 21:39:14,card,UNKNOWN,27,Irish whiskey with milk,machine-2
2025-03-14,2025-03-14 12:31:32,card,UNKNOWN,25,Americano with milk,machine-2
2025-03-14,2025-03-14 13:46:07,card,UNKNOWN,28,Double Irish whiskey,machine-2
2025-03-14,2025-03-14 15:59:44,card,UNKNOWN,33,Latte,machine-2
2025-03-14,2025-03-14 21:27:31,card,UNKNOWN,27,Irish whiskey with milk,machine-2
2025-03-15,2025-03-15 13:12:26,card,UNKNOWN,15,Tea,machine-2
2025-03-15,2025-03-15 13:15:33,card,UNKNOWN,20,Espresso,machine-2
2025-03-15,2025-03-15 13:37:40,card,UNKNOWN,25,Irish whiskey,machine-2
2025-03-15,2025-03-15 13:39:02,card,UNKNOWN,25,Irish whiskey,machine-2
2025-03-15,2025-03-15 14:56:24,card,UNKNOWN,27,Irish whiskey with milk,machine-2
2025-03-15,2025-03-15 14:57:48,card,UNKNOWN,27,Chocolate with milk,machine-2
2025-03-15,2025-03-15 15:48:00,card,UNKNOWN,28,Caramel with Irish whiskey,machine-2
2025-03-15,2025-03-15 19:08:45,card,UNKNOWN,25,Irish whiskey,machine-2
2025-03-15,2025-03-15 19:10:04,card,UNKNOWN,25,Americano with milk,machine-2
2025-03-15,2025-03-15 21:02:14,card,UNKNOWN,33,Latte,machine-2
2025-03-15,2025-03-15 21:58:17,card,UNKNOWN,30,Cappuccino,machine-2
2025-03-16,2025-03-16 13:50:06,card,UNKNOWN,25,Americano with milk,machine-2
2025-03-16,2025-03-16 14:45:25,card,UNKNOWN,25,Americano with milk,machine-2
2025-03-16,2025-03-16 15:04:02,cash,UNKNOWN,25,Americano with milk,machine-2
2025-03-16,2025-03-16 16:01:45,card,UNKNOWN,29,Coffee with Irish whiskey,machine-2
2025-03-17,2025-03-17 08:01:14,card,UNKNOWN,29,Coffee with Irish whiskey,machine-2
2025-03-17,2025-03-17 11:03:49,card,UNKNOWN,25,Irish whiskey,machine-2
2025-03-17,2025-03-17 16:44:56,card,UNKNOWN,33,Latte,machine-2
2025-03-17,2025-03-17 17:33:56,card,UNKNOWN,29,Coffee with Irish whiskey,machine-2
2025-03-17,2025-03-17 18:33:37,card,UNKNOWN,29,Coffee with Irish whiskey,machine-2
2025-03-18,2025-03-18 08:25:07,card,UNKNOWN,29,Coffee with Irish whiskey,machine-2
2025-03-18,2025-03-18 15:02:02,cash,UNKNOWN,28,Double Irish whiskey,machine-2
2025-03-18,2025-03-18 17:44:32,cash,UNKNOWN,20,Espresso,machine-2
2025-03-18,2025-03-18 17:47:22,card,UNKNOWN,25,Irish whiskey,machine-2
2025-03-18,2025-03-18 19:35:21,card,UNKNOWN,30,Chocolate with coffee,machine-2
2025-03-18,2025-03-18 19:36:32,card,UNKNOWN,30,Chocolate with coffee,machine-2
2025-03-19,2025-03-19 16:56:15,card,UNKNOWN,25,Irish whiskey,machine-2
2025-03-19,2025-03-19 17:38:00,card,UNKNOWN,27,Chocolate with milk,machine-2
2025-03-19,2025-03-19 17:42:13,cash,UNKNOWN,30,Mochaccino,machine-2
2025-03-19,2025-03-19 17:44:09,cash,UNKNOWN,33,Latte,machine-2
2025-03-19,2025-03-19 19:42:58,cash,UNKNOWN,25,Double chocolate,machine-2
2025-03-20,2025-03-20 08:10:49,card,UNKNOWN,25,Irish whiskey,machine-2
2025-03-20,2025-03-20 11:54:23,card,UNKNOWN,33,Latte,machine-2
2025-03-20,2025-03-20 17:22:35,cash,UNKNOWN,30,Chocolate with coffee,machine-2
2025-03-21,2025-03-21 09:04:53,card,UNKNOWN,25,Irish whiskey,machine-2
2025-03-21,2025-03-21 19:37:46,card,UNKNOWN,27,Chocolate with milk,machine-2
2025-03-21,2025-03-21 19:39:07,card,UNKNOWN,28,Super chocolate,machine-2
2025-03-21,2025-03-21 21:47:03,card,UNKNOWN,25,Americano with milk,machine-2
2025-03-22,2025-03-22 10:54:05,card,UNKNOWN,27,Irish whiskey with milk,machine-2
2025-03-22,2025-03-22 10:55:29,card,UNKNOWN,27,Irish with chocolate,machine-2
2025-03-22,2025-03-22 11:00:25,card,UNKNOWN,25,Irish whiskey,machine-2
2025-03-22,2025-03-22 16:59:05,card,UNKNOWN,15,Tea,machine-2
2025-03-22,2025-03-22 17:07:45,cash,UNKNOWN,25,Irish whiskey,machine-2
2025-03-22,2025-03-22 17:44:51,card,UNKNOWN,28,Caramel with Irish whiskey,machine-2
2025-03-22,2025-03-22 17:58:01,cash,UNKNOWN,22,Caramel,machine-2
2025-03-22,2025-03-22 22:19:59,card,UNKNOWN,25,Americano with milk,machine-2
2025-03-22,2025-03-22 22:21:21,card,UNKNOWN,25,Americano with milk,machine-2
2025-03-22,2025-03-22 22:23:39,card,UNKNOWN,29,Coffee with Irish whiskey,machine-2
2025-03-23,2025-03-23 10:16:44,cash,UNKNOWN,25,Irish whiskey,machine-2
2025-03-23,2025-03-23 10:25:48,cash,UNKNOWN,25,Americano with milk,machine-2
2025-03-23,2025-03-23 14:55:46,cash,UNKNOWN,30,Cappuccino,machine-2
2025-03-23,2025-03-23 15:15:36,card,UNKNOWN,25,Irish whiskey,machine-2
2025-03-23,2025-03-23 17:59:25,card,UNKNOWN,28,Super chocolate,machine-2
2025-03-23,2025-03-23 18:01:33,card,UNKNOWN,28,Vanilla with Irish whiskey,machine-2
2025-03-23,2025-03-23 21:23:11,card,UNKNOWN,29,Coffee with Irish whiskey,machine-2
